,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
241,392,,,7,104,,11903114.950046482,6094988.113060215,"11903114.950046482,6094988.113060215","(47.928620975951155, 106.92750088258327)"
242,249,,,7,105,,11902709.09490609,6093299.024976331,"11902709.09490609,6093299.024976331","(47.91845299308602, 106.92385502382575)"
243,180,,,4,32,,11905205.025774037,6094501.025776299,"11905205.025774037,6094501.025776299","(47.925689009993654, 106.9462763522936)"
244,57,,,3,26,,11897730.275519783,6093306.69722566,"11897730.275519783,6093306.69722566","(47.91849918305849, 106.87912952830985)"
245,157,,,9,142,,11900698.57024444,6095731.1842859415,"11900698.57024444,6095731.1842859415","(47.93309348766474, 106.90579417349916)"
246,14,ХУБТөвийн урд талд,0,7,103,,11901863.443708545,6094644.34527845,"11901863.443708545,6094644.34527845","(47.9265517225322, 106.91625840986788)"
247,37,оюутаны гудамж ,0,7,105,,11903080.063249703,6093608.862404599,"11903080.063249703,6093608.862404599","(47.92031830403615, 106.92718748915568)"
248,137,,0,4,34,,11905434.943294268,6093387.911561655,"11905434.943294268,6093387.911561655","(47.918988122922755, 106.94834173651869)"
249,386,,,7,104,,11903005.547522567,6094784.769997351,"11903005.547522567,6094784.769997351","(47.92739699595045, 106.92651810298975)"
250,243,Бага тойруу ,0,7,105,,11902474.546930185,6094412.7355561955,"11902474.546930185,6094412.7355561955","(47.925157539361116, 106.9217480435096)"
251,8,МУИС-2 байрны урп талын автобусны буудал дээр,0,7,103,,11902325.956710242,6093977.611362031,"11902325.956710242,6093977.611362031","(47.922538191784476, 106.92041323485316)"
252,349,Баруун 4-н замын автобусны буудал Түц-1,0,3,23,,11899340.358206471,6092774.247198025,"11899340.358206471,6092774.247198025","(47.91529352562993, 106.89359314717134)"
253,51,,,9,134,,11901694.043072004,6093571.241059219,"11901694.043072004,6093571.241059219","(47.92009181624086, 106.91473665805843)"
254,300,,,3,21,,11897671.418333024,6094048.282348544,"11897671.418333024,6094048.282348544","(47.92296362389179, 106.87860080520538)"
255,151,,,4,55,,11903924.302402062,6091646.580562629,"11903924.302402062,6091646.580562629","(47.908503663863804, 106.93477141849584)"
