,OBJECTID,GlobalID,Camer_name,Camer_zoriulalt,Camer_uzuulelt,burtgel,Gemteltei_eseh,x,y,xy,lat_lon
116,28,{0A7BFE49-8CEC-41EB-B06E-B8D06149792E},11,2,3,1,2,11899295.35643686,6090026.480495399,"11899295.35643686,6090026.480495399","(47.89874722199003, 106.8931888893968)"
117,515,{07B8F174-BAFF-47A9-8D4E-0D8E0686072A},1,1,2,1,2,11908589.606232027,6092578.3214514265,"11908589.606232027,6092578.3214514265","(47.91411388921581, 106.97668055585102)"
118,615,{D1F56F3B-BBC8-414F-8EA2-E85E097B6EA7},10,1,3,1,2,11903768.85380587,6091688.412335931,"11903768.85380587,6091688.412335931","(47.908755555594595, 106.9333749999973)"
119,727,{37027B6E-AD3B-4D37-AD50-78FEBFDC0A74},1,1,2,1,2,11905350.827509252,6094232.440668022,"11905350.827509252,6094232.440668022","(47.92407222169269, 106.94758611156553)"
120,157,{E7F36860-EAC5-4B22-BA2C-C6EAEF1206A4},1,1,2,1,2,11904620.757100582,6092934.034098156,"11904620.757100582,6092934.034098156","(47.91625555613568, 106.94102777749961)"
121,870,{BA0AFCA7-94F1-4222-8101-DD6D293674CC},7,1,2,1,2,11903462.725238526,6102914.290314533,"11903462.725238526,6102914.290314533","(47.97630833307066, 106.93062500028779)"
122,704,{D7B439C3-8EC1-4500-8A8C-E2AD7F1707F4},2,1,2,1,2,11897399.214508645,6092565.864853738,"11897399.214508645,6092565.864853738","(47.91403888919857, 106.87615555664705)"
123,578,{10693C14-578B-4E94-AA58-47A8D18AAEBF},10,1,2,1,2,11903437.369108155,6093240.85369216,"11903437.369108155,6093240.85369216","(47.91810277762844, 106.93039722229322)"
124,37,{62C74992-BF7E-47D7-A220-E97D0660FEF2},11,2,1,1,2,11906526.794159295,6094171.068870576,"11906526.794159295,6094171.068870576","(47.923702777869664, 106.95814999971901)"
125,349,{B7D0B0D0-E476-4CD3-974B-2CB09F02D788},10,1,2,1,2,11916813.024386333,6092832.070852035,"11916813.024386333,6092832.070852035","(47.91564166711754, 107.05055277800821)"
126,151,{A3D9BCF2-45B0-4694-92C9-5FCCF7C21B1A},10,1,2,1,2,11903574.694307689,6096561.428338196,"11903574.694307689,6096561.428338196","(47.93809023110704, 106.93163083554957)"
127,6492,{C51C8386-DB1E-4856-91D1-51641866E9A5},8,2,2,1,2,11901675.546856208,6094569.632760364,"11901675.546856208,6094569.632760364","(47.9261019919104, 106.91457050372493)"
